codigo,codigo_barra,descricao,desc_unidade
110,110,MUS BUFALA PURINHO GRANEL CEREJA 250g ,UNIDADE
140,140,TABLETE DOCE C/ COCO ,UNIDADE
17,17,BISNAGA FORNO E FOGAO 1.8G -VEREDA,UNIDADE
181,181,MUSSARELA LIGHT 3KG MARILIA ,Quilograma
97,97,QJ COALHO PUROLEITE 400g ,Quilograma
29,29,DOCE DE LEITE PASTOSO 500g Leite de curral,UNIDADE
11,11,BISNAGA CABEÇA DANTA 1.8g ,UNIDADE
41,41,REQUEIJAO ALEGRETE BARRAO 3kg ,Quilograma
78,78,QJ GOUDA FRAÇÃO CRUZILIA 140g ,UNIDADE
197,197,QJ CAPRIVITA BOURSIN 1KG,Quilograma
58,58,MUSS BOM JARDIM TRANÇA 300g ,Quilograma
203,7000000002038,CAPRIVITA MINAS FRESCAL KG,Quilograma
135,135,TABLETE DOCE COCADA MORENA SOUVENIR,UNIDADE
111,111,QJ MUSS TRANÇA ALHO FRAÇÃO 200g ,Quilograma
219,219,REQUEIJAO BARRA 500G ENTRE RIOS,Quilograma